datetime,city,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2021-01-01 00:00:00,Busan,35.1799528,129.0752365,1,310.42,0.11,32.9,32.19,11.56,3.92,4.81,2.85
2021-01-01 01:00:00,Busan,35.1799528,129.0752365,1,297.07,0.03,26.73,39.34,11.09,3.83,4.64,2.69
2021-01-01 02:00:00,Busan,35.1799528,129.0752365,1,283.72,0.01,22.96,44.7,11.8,3.84,4.65,2.44
2021-01-01 03:00:00,Busan,35.1799528,129.0752365,1,273.71,0.01,20.39,49.35,11.68,3.77,4.73,2.38
2021-01-01 04:00:00,Busan,35.1799528,129.0752365,1,270.37,0.01,20.05,50.78,11.92,3.79,4.95,3.01
2021-01-01 05:00:00,Busan,35.1799528,129.0752365,1,287.06,0.05,26.05,43.99,13.83,4.37,5.84,4.62
2021-01-01 06:00:00,Busan,35.1799528,129.0752365,2,323.77,0.42,41.13,27.9,18.36,5.67,7.56,6.33
2021-01-01 07:00:00,Busan,35.1799528,129.0752365,2,487.33,21.01,71.97,1.88,35.76,9.46,12.08,8.23
2021-01-01 08:00:00,Busan,35.1799528,129.0752365,2,720.98,79.57,79.51,0.01,52.45,14.14,17.53,10.64
2021-01-01 09:00:00,Busan,35.1799528,129.0752365,2,847.82,119.81,78.83,1.12,60.08,16.91,20.82,12.54
2021-01-01 10:00:00,Busan,35.1799528,129.0752365,2,867.84,125.17,75.4,4.34,63.9,17.77,21.94,12.67
2021-01-01 11:00:00,Busan,35.1799528,129.0752365,2,720.98,90.3,67.17,11.18,48.64,14.82,18.52,9.75
2021-01-01 12:00:00,Busan,35.1799528,129.0752365,2,487.33,42.92,50.04,27.18,28.61,9.74,12.48,5.26
2021-01-01 13:00:00,Busan,35.1799528,129.0752365,1,257.02,6.04,17.82,65.09,13.35,4.73,6.96,0.9
2021-01-01 14:00:00,Busan,35.1799528,129.0752365,1,263.69,5.87,21.25,62.23,14.66,5.65,8.98,0.73
2021-01-01 15:00:00,Busan,35.1799528,129.0752365,1,283.72,5.36,25.36,57.22,15.26,6.87,11.27,0.85
2021-01-01 16:00:00,Busan,35.1799528,129.0752365,2,333.79,4.69,42.16,38.27,16.21,8.52,13.82,1.58
2021-01-01 17:00:00,Busan,35.1799528,129.0752365,2,403.88,7.71,66.49,10.64,17.17,10.57,16.59,2.63
2021-01-01 18:00:00,Busan,35.1799528,129.0752365,2,460.63,18.33,74.03,0.39,17.64,12.59,18.85,3.23
2021-01-01 19:00:00,Busan,35.1799528,129.0752365,2,514.03,29.95,73.34,0.01,22.65,14.78,21.02,4.05
2021-01-01 20:00:00,Busan,35.1799528,129.0752365,2,554.09,33.98,72.66,0.0,27.18,16.45,22.57,5.19
2021-01-01 21:00:00,Busan,35.1799528,129.0752365,2,560.76,30.85,72.66,0.01,28.61,17.3,23.11,5.7
2021-01-01 22:00:00,Busan,35.1799528,129.0752365,2,580.79,30.85,72.66,0.01,31.47,18.1,23.62,6.4
2021-01-01 23:00:00,Busan,35.1799528,129.0752365,2,594.14,33.53,71.97,0.01,31.95,18.77,24.13,7.41
2021-01-02 00:00:00,Busan,35.1799528,129.0752365,2,554.09,27.27,70.6,0.03,25.03,18.19,23.29,8.23
2021-01-02 01:00:00,Busan,35.1799528,129.0752365,2,500.68,15.42,69.23,0.21,20.27,17.56,22.47,8.74
2021-01-02 02:00:00,Busan,35.1799528,129.0752365,2,480.65,8.94,67.86,0.47,19.07,17.76,22.66,9.5
2021-01-02 03:00:00,Busan,35.1799528,129.0752365,2,473.98,7.26,67.17,0.65,19.31,18.45,23.4,10.39
2021-01-02 04:00:00,Busan,35.1799528,129.0752365,2,473.98,6.65,65.8,0.65,19.31,19.13,24.15,11.27
2021-01-02 05:00:00,Busan,35.1799528,129.0752365,2,467.3,7.49,62.38,0.48,18.12,19.78,24.82,12.16
2021-01-02 06:00:00,Busan,35.1799528,129.0752365,3,473.98,11.18,58.26,0.27,18.36,21.04,26.06,12.29
2021-01-02 07:00:00,Busan,35.1799528,129.0752365,3,547.41,28.39,56.89,0.03,26.46,23.74,28.85,10.77
2021-01-02 08:00:00,Busan,35.1799528,129.0752365,4,607.49,47.83,56.21,0.01,30.28,26.54,31.68,8.36
2021-01-02 09:00:00,Busan,35.1799528,129.0752365,4,580.79,45.6,52.78,0.76,26.7,28.2,33.31,6.33
2021-01-02 10:00:00,Busan,35.1799528,129.0752365,4,460.63,20.56,50.04,11.62,22.65,27.02,31.46,3.29
2021-01-02 11:00:00,Busan,35.1799528,129.0752365,3,413.9,14.75,39.41,25.39,22.41,21.9,25.19,2.28
2021-01-02 12:00:00,Busan,35.1799528,129.0752365,2,387.19,11.4,31.19,36.12,23.13,15.64,18.07,1.92
2021-01-02 13:00:00,Busan,35.1799528,129.0752365,2,347.14,6.37,21.42,50.78,21.22,10.33,12.01,1.08
2021-01-02 14:00:00,Busan,35.1799528,129.0752365,1,330.45,5.2,16.45,59.37,18.6,7.7,8.97,0.92
2021-01-02 15:00:00,Busan,35.1799528,129.0752365,1,320.44,4.19,14.57,65.09,17.88,6.7,8.29,0.84
2021-01-02 16:00:00,Busan,35.1799528,129.0752365,1,313.76,3.38,17.82,67.23,16.45,7.47,11.11,1.14
2021-01-02 17:00:00,Busan,35.1799528,129.0752365,1,307.08,1.63,27.08,60.8,13.35,9.3,15.83,1.85
2021-01-02 18:00:00,Busan,35.1799528,129.0752365,2,307.08,0.06,35.64,51.5,12.28,10.22,18.17,2.63
2021-01-02 19:00:00,Busan,35.1799528,129.0752365,2,310.42,0.04,37.36,47.21,13.95,10.44,18.72,3.14
2021-01-02 20:00:00,Busan,35.1799528,129.0752365,1,300.41,0.02,32.56,50.07,13.95,10.0,18.17,3.26
2021-01-02 21:00:00,Busan,35.1799528,129.0752365,1,287.06,0.01,26.73,55.08,12.16,9.86,18.29,3.33
2021-01-02 22:00:00,Busan,35.1799528,129.0752365,2,287.06,0.01,25.02,56.51,11.44,10.37,19.36,3.58
2021-01-02 23:00:00,Busan,35.1799528,129.0752365,2,290.39,0.01,26.05,55.08,11.09,11.06,20.55,4.12
2021-01-03 00:00:00,Busan,35.1799528,129.0752365,2,287.06,0.01,24.68,55.08,9.78,11.45,21.19,4.62
2021-01-03 01:00:00,Busan,35.1799528,129.0752365,2,283.72,0.0,21.94,56.51,9.3,11.84,21.73,5.07
2021-01-03 02:00:00,Busan,35.1799528,129.0752365,2,280.38,0.0,19.02,58.65,8.94,12.15,22.15,5.07
2021-01-03 03:00:00,Busan,35.1799528,129.0752365,2,273.71,0.0,16.28,60.8,8.7,12.63,22.92,4.94
2021-01-03 04:00:00,Busan,35.1799528,129.0752365,2,267.03,0.0,13.88,63.66,8.58,13.29,24.11,4.69
2021-01-03 05:00:00,Busan,35.1799528,129.0752365,2,260.35,0.0,12.68,64.37,9.18,13.94,24.97,4.5
2021-01-03 06:00:00,Busan,35.1799528,129.0752365,2,260.35,0.0,12.51,64.37,10.25,14.48,25.48,4.24
2021-01-03 07:00:00,Busan,35.1799528,129.0752365,2,267.03,0.0,15.94,63.66,11.8,14.04,24.23,3.58
2021-01-03 08:00:00,Busan,35.1799528,129.0752365,2,277.04,0.01,21.08,61.51,11.92,12.37,21.13,3.04
2021-01-03 09:00:00,Busan,35.1799528,129.0752365,2,287.06,0.95,22.62,61.51,12.4,11.47,19.57,2.85
2021-01-03 10:00:00,Busan,35.1799528,129.0752365,2,297.07,3.55,19.36,65.09,13.83,11.3,19.32,2.72
2021-01-03 11:00:00,Busan,35.1799528,129.0752365,2,310.42,4.97,15.94,66.52,15.74,11.24,19.17,2.47
2021-01-03 12:00:00,Busan,35.1799528,129.0752365,2,333.79,5.53,14.05,64.37,18.6,11.12,18.81,2.09
2021-01-03 13:00:00,Busan,35.1799528,129.0752365,2,340.46,5.03,12.51,64.37,20.27,10.24,16.75,1.58
2021-01-03 14:00:00,Busan,35.1799528,129.0752365,1,340.46,4.14,12.51,63.66,20.27,9.57,14.9,1.24
2021-01-03 15:00:00,Busan,35.1799528,129.0752365,2,343.8,2.99,14.57,60.8,20.5,10.01,15.18,1.14
2021-01-03 16:00:00,Busan,35.1799528,129.0752365,2,357.15,1.98,21.42,53.64,21.22,10.81,15.97,1.33
2021-01-03 17:00:00,Busan,35.1799528,129.0752365,2,380.52,0.88,32.9,40.77,21.94,12.08,17.56,1.81
2021-01-03 18:00:00,Busan,35.1799528,129.0752365,2,397.21,0.23,41.47,31.11,22.17,13.06,18.82,2.25
2021-01-03 19:00:00,Busan,35.1799528,129.0752365,2,400.54,0.21,42.84,29.33,23.13,13.45,19.35,2.6
2021-01-03 20:00:00,Busan,35.1799528,129.0752365,2,387.19,0.1,39.41,33.62,22.89,13.27,19.14,2.79
2021-01-03 21:00:00,Busan,35.1799528,129.0752365,2,373.84,0.05,34.96,37.91,21.94,12.73,18.38,2.88
2021-01-03 22:00:00,Busan,35.1799528,129.0752365,2,370.5,0.03,33.24,39.34,21.94,12.02,17.24,2.95
2021-01-03 23:00:00,Busan,35.1799528,129.0752365,2,360.49,0.02,30.16,42.56,21.46,10.7,15.06,2.82
2021-01-04 00:00:00,Busan,35.1799528,129.0752365,1,340.46,0.0,23.99,49.35,19.55,8.76,11.97,2.53
2021-01-04 01:00:00,Busan,35.1799528,129.0752365,1,330.45,0.0,20.91,52.93,19.07,7.63,10.08,2.41
2021-01-04 02:00:00,Busan,35.1799528,129.0752365,1,330.45,0.0,19.71,54.36,19.31,7.35,9.48,2.53
2021-01-04 03:00:00,Busan,35.1799528,129.0752365,1,323.77,0.0,18.34,56.51,19.07,7.22,9.15,2.63
2021-01-04 04:00:00,Busan,35.1799528,129.0752365,1,320.44,0.0,16.62,59.37,18.6,7.18,9.0,2.66
2021-01-04 05:00:00,Busan,35.1799528,129.0752365,1,317.1,0.0,16.28,60.8,18.84,7.37,9.17,2.66
2021-01-04 06:00:00,Busan,35.1799528,129.0752365,1,320.44,0.0,17.65,60.08,19.79,7.81,9.66,2.66
2021-01-04 07:00:00,Busan,35.1799528,129.0752365,1,343.8,0.02,27.42,51.5,22.41,8.72,10.79,2.69
2021-01-04 08:00:00,Busan,35.1799528,129.0752365,2,380.52,0.24,42.84,35.05,24.56,10.01,12.63,2.79
2021-01-04 09:00:00,Busan,35.1799528,129.0752365,2,407.22,3.97,47.3,29.33,25.75,11.83,15.62,2.79
2021-01-04 10:00:00,Busan,35.1799528,129.0752365,2,417.23,10.62,38.73,38.98,26.94,14.18,19.74,2.53
2021-01-04 11:00:00,Busan,35.1799528,129.0752365,2,403.88,11.51,30.16,49.35,24.8,17.0,24.87,1.87
2021-01-04 12:00:00,Busan,35.1799528,129.0752365,3,383.85,9.84,23.99,56.51,24.32,20.11,29.88,1.19
2021-01-04 13:00:00,Busan,35.1799528,129.0752365,2,343.8,5.48,14.74,65.09,21.46,18.12,26.02,0.34
2021-01-04 14:00:00,Busan,35.1799528,129.0752365,2,337.12,4.92,14.4,66.52,20.03,16.01,22.45,0.34
2021-01-04 15:00:00,Busan,35.1799528,129.0752365,2,340.46,4.75,17.31,65.09,20.5,16.22,22.29,0.35
2021-01-04 16:00:00,Busan,35.1799528,129.0752365,3,473.98,20.12,49.35,31.83,31.95,20.03,26.36,2.41
2021-01-04 17:00:00,Busan,35.1799528,129.0752365,3,680.92,63.48,74.71,4.43,47.21,24.41,31.42,6.33
2021-01-04 18:00:00,Busan,35.1799528,129.0752365,4,881.2,111.76,82.94,0.04,61.04,28.23,35.97,9.88
2021-01-04 19:00:00,Busan,35.1799528,129.0752365,4,1054.76,144.84,90.48,0.0,82.02,32.69,41.42,12.67
2021-01-04 20:00:00,Busan,35.1799528,129.0752365,4,1108.17,150.2,93.22,0.0,96.32,35.5,45.15,14.06
2021-01-04 21:00:00,Busan,35.1799528,129.0752365,4,1068.12,134.11,90.48,0.0,96.32,36.26,46.38,14.44
2021-01-04 22:00:00,Busan,35.1799528,129.0752365,4,1014.71,118.02,85.68,0.0,94.41,36.79,47.03,14.57
2021-01-04 23:00:00,Busan,35.1799528,129.0752365,4,921.25,99.24,80.2,0.0,81.06,35.44,45.27,13.81
2021-01-05 00:00:00,Busan,35.1799528,129.0752365,4,761.03,70.63,72.66,0.0,53.41,32.14,41.16,12.29
2021-01-05 01:00:00,Busan,35.1799528,129.0752365,4,640.87,48.28,65.12,0.0,30.99,30.16,38.66,10.51
2021-01-05 02:00:00,Busan,35.1799528,129.0752365,4,620.84,40.23,63.06,0.0,25.27,31.12,39.56,9.63
2021-01-05 03:00:00,Busan,35.1799528,129.0752365,4,627.52,35.76,63.75,0.0,25.75,33.62,42.06,9.25
2021-01-05 04:00:00,Busan,35.1799528,129.0752365,4,614.17,30.85,64.43,0.01,26.23,35.73,44.33,9.12
2021-01-05 05:00:00,Busan,35.1799528,129.0752365,4,614.17,29.95,64.43,0.01,27.42,37.86,46.82,10.13
2021-01-05 06:00:00,Busan,35.1799528,129.0752365,4,634.19,33.98,65.12,0.0,29.8,39.93,49.37,11.4
2021-01-05 07:00:00,Busan,35.1799528,129.0752365,4,734.33,57.22,67.86,0.0,40.53,43.2,53.12,11.53
2021-01-05 08:00:00,Busan,35.1799528,129.0752365,4,827.79,85.83,71.97,0.01,43.87,45.43,55.31,10.51
2021-01-05 09:00:00,Busan,35.1799528,129.0752365,4,787.74,79.57,71.29,1.31,32.9,42.79,51.46,6.9
2021-01-05 10:00:00,Busan,35.1799528,129.0752365,4,600.82,40.23,57.58,7.6,20.98,33.83,39.39,2.5
2021-01-05 11:00:00,Busan,35.1799528,129.0752365,3,514.03,20.79,47.98,13.59,22.89,23.79,26.75,1.84
2021-01-05 12:00:00,Busan,35.1799528,129.0752365,2,473.98,9.84,47.3,17.7,26.94,15.25,17.08,1.38
2021-01-05 13:00:00,Busan,35.1799528,129.0752365,1,407.22,2.52,33.93,37.19,24.32,7.99,9.12,0.82
2021-01-05 14:00:00,Busan,35.1799528,129.0752365,1,397.21,2.07,30.16,40.77,22.41,5.18,6.1,1.0
2021-01-05 15:00:00,Busan,35.1799528,129.0752365,1,390.53,2.65,29.13,41.49,22.89,3.78,4.58,1.2
2021-01-05 16:00:00,Busan,35.1799528,129.0752365,1,380.52,2.93,31.87,43.27,23.6,3.95,4.87,1.47
2021-01-05 17:00:00,Busan,35.1799528,129.0752365,2,363.83,0.98,41.47,42.56,22.65,4.85,6.1,1.96
2021-01-05 18:00:00,Busan,35.1799528,129.0752365,2,340.46,0.08,43.87,44.35,20.27,5.04,6.5,2.44
2021-01-05 19:00:00,Busan,35.1799528,129.0752365,1,313.76,0.03,38.39,50.07,17.64,4.29,5.7,2.57
2021-01-05 20:00:00,Busan,35.1799528,129.0752365,1,293.73,0.01,32.56,55.79,15.5,3.47,4.73,2.47
2021-01-05 21:00:00,Busan,35.1799528,129.0752365,1,280.38,0.01,28.45,59.37,13.83,3.03,4.21,2.38
2021-01-05 22:00:00,Busan,35.1799528,129.0752365,1,277.04,0.01,26.05,60.8,13.35,3.02,4.21,2.34
2021-01-05 23:00:00,Busan,35.1799528,129.0752365,1,273.71,0.01,23.31,63.66,12.4,3.07,4.24,2.28
2021-01-06 00:00:00,Busan,35.1799528,129.0752365,1,263.69,0.0,19.36,67.95,11.33,3.12,4.23,2.19
2021-01-06 01:00:00,Busan,35.1799528,129.0752365,1,260.35,0.0,16.45,70.81,11.56,3.33,4.42,2.19
2021-01-06 02:00:00,Busan,35.1799528,129.0752365,1,257.02,0.0,14.91,70.1,12.16,3.53,4.63,2.19
2021-01-06 03:00:00,Busan,35.1799528,129.0752365,1,257.02,0.0,14.4,69.38,13.11,3.76,4.93,2.22
2021-01-06 04:00:00,Busan,35.1799528,129.0752365,1,260.35,0.0,14.74,67.23,14.42,4.15,5.43,2.25
2021-01-06 05:00:00,Busan,35.1799528,129.0752365,1,267.03,0.0,15.59,65.09,15.97,4.68,6.08,2.28
2021-01-06 06:00:00,Busan,35.1799528,129.0752365,1,270.37,0.0,16.28,65.09,16.45,4.91,6.37,2.25
2021-01-06 07:00:00,Busan,35.1799528,129.0752365,1,273.71,0.01,18.68,65.8,15.74,4.5,5.87,2.06
2021-01-06 08:00:00,Busan,35.1799528,129.0752365,1,277.04,0.02,21.42,66.52,13.95,3.79,5.0,1.85
2021-01-06 09:00:00,Busan,35.1799528,129.0752365,1,273.71,1.08,20.39,71.53,12.52,3.31,4.42,1.71
2021-01-06 10:00:00,Busan,35.1799528,129.0752365,1,270.37,2.79,17.48,76.53,12.04,2.99,4.0,1.6
2021-01-06 11:00:00,Busan,35.1799528,129.0752365,1,277.04,3.33,16.97,75.82,12.76,3.05,4.07,1.58
2021-01-06 12:00:00,Busan,35.1799528,129.0752365,1,287.06,3.58,17.82,71.53,14.07,3.46,4.58,1.63
2021-01-06 13:00:00,Busan,35.1799528,129.0752365,1,293.73,3.69,14.91,72.96,14.19,3.44,4.42,1.44
2021-01-06 14:00:00,Busan,35.1799528,129.0752365,1,297.07,3.63,13.37,75.1,13.47,3.42,4.24,1.22
2021-01-06 15:00:00,Busan,35.1799528,129.0752365,1,293.73,3.49,13.71,75.1,13.11,3.49,4.23,1.11
2021-01-06 16:00:00,Busan,35.1799528,129.0752365,2,410.56,17.21,43.18,40.77,19.31,5.6,6.64,2.85
2021-01-06 17:00:00,Busan,35.1799528,129.0752365,2,600.82,54.54,70.6,7.33,26.23,8.97,10.57,6.08
2021-01-06 18:00:00,Busan,35.1799528,129.0752365,2,787.74,101.03,80.88,0.11,36.72,12.33,14.58,9.75
2021-01-06 19:00:00,Busan,35.1799528,129.0752365,2,974.66,139.48,89.11,0.0,53.41,16.54,19.66,13.05
2021-01-06 20:00:00,Busan,35.1799528,129.0752365,2,1028.06,141.26,91.85,0.0,61.04,18.6,22.34,15.07
2021-01-06 21:00:00,Busan,35.1799528,129.0752365,2,934.6,113.55,90.48,0.0,58.17,17.59,21.45,15.45
2021-01-06 22:00:00,Busan,35.1799528,129.0752365,2,814.44,80.47,87.74,0.0,53.41,15.23,18.59,13.81
2021-01-06 23:00:00,Busan,35.1799528,129.0752365,2,594.14,35.76,79.51,0.08,36.72,9.91,12.1,8.99
2021-01-07 00:00:00,Busan,35.1799528,129.0752365,2,377.18,3.33,56.89,15.02,20.98,5.46,6.58,4.05
2021-01-07 01:00:00,Busan,35.1799528,129.0752365,1,290.39,0.0,24.33,57.94,17.41,5.11,5.77,0.86
2021-01-07 02:00:00,Busan,35.1799528,129.0752365,1,310.42,0.0,25.02,57.22,18.6,6.39,6.96,0.8
2021-01-07 03:00:00,Busan,35.1799528,129.0752365,1,333.79,0.0,23.31,55.08,18.84,7.45,7.96,0.82
2021-01-07 04:00:00,Busan,35.1799528,129.0752365,1,323.77,0.0,16.62,57.94,16.69,6.12,6.55,0.86
2021-01-07 05:00:00,Busan,35.1799528,129.0752365,1,387.19,0.0,17.99,52.21,22.65,2.77,3.11,0.86
2021-01-07 06:00:00,Busan,35.1799528,129.0752365,1,567.44,0.03,31.53,34.69,49.11,2.25,2.55,0.86
2021-01-07 07:00:00,Busan,35.1799528,129.0752365,1,534.06,0.09,31.87,32.9,50.55,2.0,2.38,1.08
2021-01-07 08:00:00,Busan,35.1799528,129.0752365,1,413.9,0.1,24.68,39.34,33.38,1.46,1.91,1.24
2021-01-07 09:00:00,Busan,35.1799528,129.0752365,1,340.46,1.34,17.31,47.92,21.94,1.07,1.55,1.24
2021-01-07 10:00:00,Busan,35.1799528,129.0752365,1,307.08,3.21,11.65,55.08,16.69,0.97,1.5,1.2
2021-01-07 11:00:00,Busan,35.1799528,129.0752365,1,287.06,3.97,9.34,58.65,13.95,1.05,1.62,1.12
2021-01-07 12:00:00,Busan,35.1799528,129.0752365,1,277.04,4.19,8.31,60.8,12.4,1.25,1.86,1.03
2021-01-07 13:00:00,Busan,35.1799528,129.0752365,1,267.03,3.74,7.63,65.8,10.49,1.39,1.95,0.87
2021-01-07 14:00:00,Busan,35.1799528,129.0752365,1,260.35,3.47,7.8,69.38,9.42,1.56,2.09,0.78
2021-01-07 15:00:00,Busan,35.1799528,129.0752365,1,260.35,3.05,8.4,70.1,9.3,1.7,2.24,0.76
2021-01-07 16:00:00,Busan,35.1799528,129.0752365,1,263.69,2.65,10.97,68.67,9.78,1.86,2.47,0.89
2021-01-07 17:00:00,Busan,35.1799528,129.0752365,1,273.71,1.54,17.82,60.8,10.73,2.03,2.71,1.16
2021-01-07 18:00:00,Busan,35.1799528,129.0752365,1,283.72,0.11,24.68,52.21,11.56,2.04,2.76,1.39
2021-01-07 19:00:00,Busan,35.1799528,129.0752365,1,290.39,0.06,25.02,51.5,12.28,1.96,2.7,1.54
2021-01-07 20:00:00,Busan,35.1799528,129.0752365,1,290.39,0.04,23.31,52.21,12.76,1.8,2.55,1.63
2021-01-07 21:00:00,Busan,35.1799528,129.0752365,1,290.39,0.03,21.76,52.93,12.88,1.62,2.35,1.68
2021-01-07 22:00:00,Busan,35.1799528,129.0752365,1,293.73,0.03,21.42,52.21,13.23,1.53,2.25,1.76
2021-01-07 23:00:00,Busan,35.1799528,129.0752365,1,293.73,0.04,21.42,51.5,13.23,1.47,2.18,1.87
2021-01-08 00:00:00,Busan,35.1799528,129.0752365,1,293.73,0.02,20.05,52.21,12.52,1.36,2.05,1.98
2021-01-08 00:00:00,Busan,35.1799528,129.0752365,1,293.73,0.02,20.05,52.21,12.52,1.36,2.05,1.98
2021-01-08 01:00:00,Busan,35.1799528,129.0752365,1,293.73,0.01,18.51,52.93,12.76,1.41,2.11,2.12
2021-01-08 02:00:00,Busan,35.1799528,129.0752365,1,293.73,0.01,17.82,52.93,13.35,1.55,2.3,2.28
2021-01-08 03:00:00,Busan,35.1799528,129.0752365,1,297.07,0.01,17.99,52.21,13.95,1.7,2.5,2.38
2021-01-08 04:00:00,Busan,35.1799528,129.0752365,1,297.07,0.01,17.82,51.5,14.42,1.75,2.57,2.38
2021-01-08 05:00:00,Busan,35.1799528,129.0752365,1,303.75,0.01,17.48,50.07,15.5,1.7,2.51,2.25
2021-01-08 06:00:00,Busan,35.1799528,129.0752365,1,323.77,0.03,17.99,47.92,17.64,1.68,2.48,2.03
2021-01-08 07:00:00,Busan,35.1799528,129.0752365,1,367.17,0.1,23.65,41.49,23.13,2.01,2.91,1.93
2021-01-08 08:00:00,Busan,35.1799528,129.0752365,1,407.22,0.28,30.5,34.69,28.13,2.4,3.47,1.93
2021-01-08 09:00:00,Busan,35.1799528,129.0752365,1,413.9,2.65,27.76,39.34,29.8,2.57,3.79,1.92
2021-01-08 10:00:00,Busan,35.1799528,129.0752365,1,390.53,5.98,20.05,50.78,28.13,2.51,3.81,1.81
2021-01-08 11:00:00,Busan,35.1799528,129.0752365,1,357.15,6.76,15.77,58.65,24.08,2.36,3.63,1.65
2021-01-08 12:00:00,Busan,35.1799528,129.0752365,1,327.11,6.43,13.2,63.66,20.27,2.29,3.5,1.47
2021-01-08 13:00:00,Busan,35.1799528,129.0752365,1,303.75,5.36,11.31,67.95,16.69,2.19,3.21,1.24
2021-01-08 14:00:00,Busan,35.1799528,129.0752365,1,293.73,5.03,11.48,69.38,15.26,2.37,3.28,1.16
2021-01-08 15:00:00,Busan,35.1799528,129.0752365,1,297.07,4.53,12.51,69.38,14.78,2.61,3.47,1.14
2021-01-08 16:00:00,Busan,35.1799528,129.0752365,1,310.42,4.81,19.36,62.94,15.5,3.08,3.98,1.46
2021-01-08 17:00:00,Busan,35.1799528,129.0752365,1,337.12,3.58,34.62,45.78,16.69,3.57,4.59,2.09
2021-01-08 18:00:00,Busan,35.1799528,129.0752365,2,357.15,0.82,50.04,27.18,17.64,3.94,5.05,2.57
2021-01-08 19:00:00,Busan,35.1799528,129.0752365,2,360.49,0.79,51.41,23.6,19.07,4.18,5.39,2.79
2021-01-08 20:00:00,Busan,35.1799528,129.0752365,2,343.8,0.38,44.55,29.68,18.6,3.88,5.07,2.69
2021-01-08 21:00:00,Busan,35.1799528,129.0752365,1,327.11,0.16,38.04,36.84,17.17,3.38,4.51,2.53
2021-01-08 22:00:00,Busan,35.1799528,129.0752365,1,323.77,0.12,35.64,39.7,16.93,3.07,4.18,2.5
2021-01-08 23:00:00,Busan,35.1799528,129.0752365,1,323.77,0.1,34.27,40.41,16.93,2.85,3.96,2.57
2021-01-09 00:00:00,Busan,35.1799528,129.0752365,1,313.76,0.05,30.5,43.27,16.21,2.54,3.59,2.53
2021-01-09 01:00:00,Busan,35.1799528,129.0752365,1,310.42,0.02,25.36,46.49,16.93,2.37,3.34,2.5
2021-01-09 02:00:00,Busan,35.1799528,129.0752365,1,317.1,0.01,23.31,47.21,19.07,2.51,3.49,2.53
2021-01-09 03:00:00,Busan,35.1799528,129.0752365,1,327.11,0.01,22.28,47.92,21.22,2.75,3.76,2.57
2021-01-09 04:00:00,Busan,35.1799528,129.0752365,1,333.79,0.01,20.91,48.64,21.7,2.81,3.82,2.53
2021-01-09 05:00:00,Busan,35.1799528,129.0752365,1,330.45,0.01,19.19,50.78,20.5,2.77,3.74,2.5
2021-01-09 06:00:00,Busan,35.1799528,129.0752365,1,323.77,0.01,18.51,51.5,18.6,2.78,3.71,2.5
2021-01-09 07:00:00,Busan,35.1799528,129.0752365,1,330.45,0.05,21.94,49.35,17.88,2.97,3.91,2.53
2021-01-09 08:00:00,Busan,35.1799528,129.0752365,1,337.12,0.1,26.05,45.78,16.93,3.1,4.04,2.5
2021-01-09 09:00:00,Busan,35.1799528,129.0752365,1,347.14,1.76,23.99,50.07,17.41,3.29,4.26,2.41
2021-01-09 10:00:00,Busan,35.1799528,129.0752365,1,357.15,4.69,18.85,58.65,19.55,3.43,4.42,2.19
2021-01-09 11:00:00,Busan,35.1799528,129.0752365,1,360.49,5.98,15.77,63.66,20.27,3.4,4.4,2.01
2021-01-09 12:00:00,Busan,35.1799528,129.0752365,1,360.49,6.26,14.22,66.52,20.5,3.51,4.54,1.82
2021-01-09 13:00:00,Busan,35.1799528,129.0752365,1,323.77,4.53,10.8,72.96,16.45,2.96,3.79,1.28
2021-01-09 14:00:00,Busan,35.1799528,129.0752365,1,310.42,3.86,9.94,72.96,15.26,2.96,3.69,1.05
2021-01-09 15:00:00,Busan,35.1799528,129.0752365,1,300.41,3.13,9.85,72.24,14.31,2.95,3.6,0.87
2021-01-09 16:00:00,Busan,35.1799528,129.0752365,1,297.07,2.77,12.85,67.95,13.71,3.05,3.71,0.98
2021-01-09 17:00:00,Busan,35.1799528,129.0752365,1,317.1,1.79,22.28,55.79,15.14,3.36,4.12,1.44
2021-01-09 18:00:00,Busan,35.1799528,129.0752365,1,353.81,0.19,33.59,40.77,18.84,3.7,4.6,1.9
2021-01-09 19:00:00,Busan,35.1799528,129.0752365,1,387.19,0.18,39.41,32.9,23.13,4.08,5.2,2.34
2021-01-09 20:00:00,Busan,35.1799528,129.0752365,2,407.22,0.17,40.44,30.76,26.7,4.0,5.24,2.53
2021-01-09 21:00:00,Busan,35.1799528,129.0752365,1,410.56,0.12,39.07,31.11,27.9,3.44,4.62,2.57
2021-01-09 22:00:00,Busan,35.1799528,129.0752365,1,367.17,0.07,32.56,36.84,23.37,2.82,3.84,2.31
2021-01-09 23:00:00,Busan,35.1799528,129.0752365,1,317.1,0.03,23.99,46.49,17.17,2.22,3.09,2.01
2021-01-10 00:00:00,Busan,35.1799528,129.0752365,1,290.39,0.01,17.99,53.64,13.95,1.9,2.64,1.84
2021-01-10 01:00:00,Busan,35.1799528,129.0752365,1,283.72,0.0,14.4,57.94,13.35,1.92,2.62,1.85
2021-01-10 02:00:00,Busan,35.1799528,129.0752365,1,287.06,0.0,13.37,58.65,14.19,2.32,3.1,2.03
2021-01-10 03:00:00,Busan,35.1799528,129.0752365,1,293.73,0.0,13.02,58.65,14.9,2.79,3.69,2.19
